Source	Interaction	Target
omics2|S88	Match	omics1|S88
omics2|S89	Match	omics1|S89
omics2|S90	Match	omics1|S90
omics2|S91	Match	omics1|S91
omics2|S92	Match	omics1|S92
omics2|S93	Match	omics1|S93
omics2|S94	Mismatch	omics1|S14
omics2|S95	Mismatch	omics1|S15
omics2|S96	Mismatch	omics1|S16
omics2|S97	Mismatch	omics1|S17
omics2|S98	Mismatch	omics1|S18
omics2|S99	Match	omics1|S99
omics2|S100	Match	omics1|S100
omics3|S1	Match	omics1|S1
omics3|S2	Match	omics1|S2
omics3|S3	Match	omics1|S3
omics3|S4	Match	omics1|S4
omics3|S5	Match	omics1|S5
omics3|S6	Match	omics1|S6
omics3|S7	Match	omics1|S7
omics3|S8	Match	omics1|S8
omics3|S9	Match	omics1|S9
omics3|S10	Match	omics1|S10
omics3|S11	Match	omics1|S11
omics3|S12	Match	omics1|S12
omics3|S13	Match	omics1|S13
omics3|S14	Mismatch	omics1|S94
omics3|S15	Mismatch	omics1|S95
omics3|S16	Mismatch	omics1|S96
omics3|S17	Mismatch	omics1|S97
omics3|S18	Mismatch	omics1|S98
omics3|S19	Match	omics1|S19
omics3|S20	Match	omics1|S20
omics3|S21	Match	omics1|S21
omics3|S22	Match	omics1|S22
omics3|S23	Match	omics1|S23
omics3|S24	Match	omics1|S24
omics3|S25	Match	omics1|S25
omics3|S26	Match	omics1|S26
omics3|S27	Match	omics1|S27
omics3|S28	Match	omics1|S28
omics3|S29	Match	omics1|S29
omics3|S30	Match	omics1|S30
omics3|S31	Match	omics1|S31
omics3|S32	Match	omics1|S32
omics3|S33	Match	omics1|S33
omics3|S34	Mismatch	omics1|S74
omics3|S35	Mismatch	omics1|S75
omics3|S36	Mismatch	omics1|S76
omics3|S37	Mismatch	omics1|S77
omics3|S38	Mismatch	omics1|S78
omics3|S39	Match	omics1|S39
omics3|S40	Match	omics1|S40
omics3|S41	Match	omics1|S41
omics3|S42	Match	omics1|S42
omics3|S43	Match	omics1|S43
omics3|S44	Match	omics1|S44
omics3|S45	Match	omics1|S45
omics3|S46	Match	omics1|S46
omics3|S47	Match	omics1|S47
omics3|S48	Match	omics1|S48
omics3|S49	Match	omics1|S49
omics3|S50	Match	omics1|S50
omics3|S51	Match	omics1|S51
omics3|S52	Match	omics1|S52
omics3|S53	Match	omics1|S53
omics3|S54	Match	omics1|S54
omics3|S55	Match	omics1|S55
omics3|S56	Match	omics1|S56
omics3|S57	Match	omics1|S57
omics3|S58	Match	omics1|S58
omics3|S59	Match	omics1|S59
omics3|S60	Match	omics1|S60
omics3|S61	Match	omics1|S61
omics3|S62	Match	omics1|S62
omics3|S63	Match	omics1|S63
omics3|S64	Match	omics1|S64
omics3|S65	Match	omics1|S65
omics3|S66	Match	omics1|S66
omics3|S67	Match	omics1|S67
omics3|S68	Match	omics1|S68
omics3|S69	Match	omics1|S69
omics3|S70	Match	omics1|S70
omics3|S71	Match	omics1|S71
omics3|S72	Match	omics1|S72
omics3|S73	Match	omics1|S73
omics3|S74	Mismatch	omics1|S34
omics3|S75	Mismatch	omics1|S35
omics3|S76	Mismatch	omics1|S36
omics3|S77	Mismatch	omics1|S37
omics3|S78	Mismatch	omics1|S38
omics3|S79	Match	omics1|S79
omics3|S80	Match	omics1|S80
omics3|S81	Match	omics1|S81
omics3|S82	Match	omics1|S82
omics3|S83	Match	omics1|S83
omics3|S84	Match	omics1|S84
omics3|S85	Match	omics1|S85
omics3|S86	Match	omics1|S86
omics3|S87	Match	omics1|S87
omics3|S88	Match	omics1|S88
omics3|S89	Match	omics1|S89
omics3|S90	Match	omics1|S90
omics3|S91	Match	omics1|S91
omics3|S92	Match	omics1|S92
omics3|S93	Match	omics1|S93
omics3|S94	Mismatch	omics1|S14
omics3|S95	Mismatch	omics1|S15
omics3|S96	Mismatch	omics1|S16
omics3|S97	Mismatch	omics1|S17
omics3|S98	Mismatch	omics1|S18
omics3|S99	Match	omics1|S99
omics3|S100	Match	omics1|S100
omics3|S1	Match	omics2|S1
omics3|S2	Match	omics2|S2
omics3|S3	Match	omics2|S3
omics3|S4	Mismatch	omics2|S44
omics3|S5	Mismatch	omics2|S45
omics3|S6	Mismatch	omics2|S46
omics3|S7	Mismatch	omics2|S47
omics3|S8	Mismatch	omics2|S48
omics3|S9	Match	omics2|S9
omics3|S10	Match	omics2|S10
omics3|S11	Match	omics2|S11
omics3|S12	Match	omics2|S12
omics3|S13	Match	omics2|S13
omics3|S14	Match	omics2|S14
omics3|S15	Match	omics2|S15
omics3|S16	Match	omics2|S16
omics3|S17	Match	omics2|S17
omics3|S18	Match	omics2|S18
omics3|S19	Match	omics2|S19
omics3|S20	Match	omics2|S20
omics3|S21	Match	omics2|S21
omics3|S22	Match	omics2|S22
omics3|S23	Match	omics2|S23
omics3|S24	Match	omics2|S24
omics3|S25	Match	omics2|S25
omics3|S26	Match	omics2|S26
omics3|S27	Match	omics2|S27
omics3|S28	Match	omics2|S28
omics3|S29	Match	omics2|S29
omics3|S30	Match	omics2|S30
omics3|S31	Match	omics2|S31
omics3|S32	Match	omics2|S32
omics3|S33	Match	omics2|S33
omics3|S34	Mismatch	omics2|S74
omics3|S35	Mismatch	omics2|S75
omics3|S36	Mismatch	omics2|S76
omics3|S37	Mismatch	omics2|S77
omics3|S38	Mismatch	omics2|S78
omics3|S39	Match	omics2|S39
omics3|S40	Match	omics2|S40
omics3|S41	Match	omics2|S41
omics3|S42	Match	omics2|S42
omics3|S43	Match	omics2|S43
omics3|S44	Mismatch	omics2|S4
omics3|S45	Mismatch	omics2|S5
omics3|S46	Mismatch	omics2|S6
omics3|S47	Mismatch	omics2|S7
omics3|S48	Mismatch	omics2|S8
omics3|S49	Match	omics2|S49
omics3|S50	Match	omics2|S50
omics3|S51	Match	omics2|S51
omics3|S52	Match	omics2|S52
omics3|S53	Match	omics2|S53
omics3|S54	Match	omics2|S54
omics3|S55	Match	omics2|S55
omics3|S56	Match	omics2|S56
omics3|S57	Match	omics2|S57
omics3|S58	Match	omics2|S58
omics3|S59	Match	omics2|S59
omics3|S60	Match	omics2|S60
omics3|S61	Match	omics2|S61
omics3|S62	Match	omics2|S62
omics3|S63	Match	omics2|S63
omics3|S64	Match	omics2|S64
omics3|S65	Match	omics2|S65
omics3|S66	Match	omics2|S66
omics3|S67	Match	omics2|S67
omics3|S68	Match	omics2|S68
omics3|S69	Match	omics2|S69
omics3|S70	Match	omics2|S70
omics3|S71	Match	omics2|S71
omics3|S72	Match	omics2|S72
omics3|S73	Match	omics2|S73
omics3|S74	Mismatch	omics2|S34
omics3|S75	Mismatch	omics2|S35
omics3|S76	Mismatch	omics2|S36
omics3|S77	Mismatch	omics2|S37
omics3|S78	Mismatch	omics2|S38
omics3|S79	Match	omics2|S79
omics3|S80	Match	omics2|S80
omics3|S81	Match	omics2|S81
omics3|S82	Match	omics2|S82
omics3|S83	Match	omics2|S83
omics3|S84	Match	omics2|S84
omics3|S85	Match	omics2|S85
omics3|S86	Match	omics2|S86
omics3|S87	Match	omics2|S87
omics3|S88	Match	omics2|S88
omics3|S89	Match	omics2|S89
omics3|S90	Match	omics2|S90
omics3|S91	Match	omics2|S91
omics3|S92	Match	omics2|S92
omics3|S93	Match	omics2|S93
omics3|S94	Match	omics2|S94
omics3|S95	Match	omics2|S95
omics3|S96	Match	omics2|S96
omics3|S97	Match	omics2|S97
omics3|S98	Match	omics2|S98
omics3|S99	Match	omics2|S99
omics3|S100	Match	omics2|S100
omics4|S1	Match	omics1|S1
omics4|S2	Match	omics1|S2
omics4|S3	Match	omics1|S3
omics4|S4	Match	omics1|S4
omics4|S5	Match	omics1|S5
omics4|S6	Match	omics1|S6
omics4|S7	Match	omics1|S7
omics4|S8	Match	omics1|S8
omics4|S9	Match	omics1|S9
omics4|S10	Match	omics1|S10
omics4|S11	Match	omics1|S11
omics4|S12	Match	omics1|S12
omics4|S13	Match	omics1|S13
omics4|S14	Mismatch	omics1|S94
omics4|S15	Mismatch	omics1|S95
omics4|S16	Mismatch	omics1|S96
omics4|S17	Mismatch	omics1|S97
omics4|S18	Mismatch	omics1|S98
omics4|S19	Match	omics1|S19
omics4|S20	Match	omics1|S20
omics4|S21	Match	omics1|S21
omics4|S22	Match	omics1|S22
omics4|S23	Match	omics1|S23
omics4|S24	Match	omics1|S24
omics4|S25	Match	omics1|S25
omics4|S26	Match	omics1|S26
omics4|S27	Match	omics1|S27
omics4|S28	Match	omics1|S28
omics4|S29	Match	omics1|S29
omics4|S30	Match	omics1|S30
omics4|S31	Match	omics1|S31
omics4|S32	Match	omics1|S32
omics4|S33	Match	omics1|S33
omics4|S34	Mismatch	omics1|S74
omics4|S35	Mismatch	omics1|S75
omics4|S36	Mismatch	omics1|S76
omics4|S37	Mismatch	omics1|S77
omics4|S38	Mismatch	omics1|S78
omics4|S39	Match	omics1|S39
omics4|S40	Match	omics1|S40
omics4|S41	Match	omics1|S41
omics4|S42	Match	omics1|S42
omics4|S43	Match	omics1|S43
omics4|S44	Match	omics1|S44
omics4|S45	Match	omics1|S45
omics4|S46	Match	omics1|S46
omics4|S47	Match	omics1|S47
omics4|S48	Match	omics1|S48
omics4|S49	Match	omics1|S49
omics4|S50	Match	omics1|S50
omics4|S51	Match	omics1|S51
omics4|S52	Match	omics1|S52
omics4|S53	Match	omics1|S53
omics4|S54	Match	omics1|S54
omics4|S55	Match	omics1|S55
omics4|S56	Match	omics1|S56
omics4|S57	Match	omics1|S57
omics4|S58	Match	omics1|S58
omics4|S59	Match	omics1|S59
omics4|S60	Match	omics1|S60
omics4|S61	Match	omics1|S61
omics4|S62	Match	omics1|S62
omics4|S63	Match	omics1|S63
omics4|S64	Match	omics1|S64
omics4|S65	Match	omics1|S65
omics4|S66	Match	omics1|S66
omics4|S67	Match	omics1|S67
omics4|S68	Match	omics1|S68
omics4|S69	Match	omics1|S69
omics4|S70	Match	omics1|S70
omics4|S71	Match	omics1|S71
omics4|S72	Match	omics1|S72
omics4|S73	Match	omics1|S73
omics4|S74	Mismatch	omics1|S34
omics4|S75	Mismatch	omics1|S35
omics4|S76	Mismatch	omics1|S36
omics4|S77	Mismatch	omics1|S37
omics4|S78	Mismatch	omics1|S38
omics4|S79	Match	omics1|S79
omics4|S80	Match	omics1|S80
omics4|S81	Match	omics1|S81
omics4|S82	Match	omics1|S82
omics4|S83	Match	omics1|S83
omics4|S84	Match	omics1|S84
omics4|S85	Match	omics1|S85
omics4|S86	Match	omics1|S86
omics4|S87	Match	omics1|S87
omics4|S88	Match	omics1|S88
omics4|S89	Match	omics1|S89
omics4|S90	Match	omics1|S90
omics4|S91	Match	omics1|S91
omics4|S92	Match	omics1|S92
omics4|S93	Match	omics1|S93
omics4|S94	Mismatch	omics1|S14
omics4|S95	Mismatch	omics1|S15
omics4|S96	Mismatch	omics1|S16
omics4|S97	Mismatch	omics1|S17
omics4|S98	Mismatch	omics1|S18
omics4|S99	Match	omics1|S99
omics4|S100	Match	omics1|S100
omics4|S1	Match	omics2|S1
omics4|S2	Match	omics2|S2
omics4|S3	Match	omics2|S3
omics4|S4	Mismatch	omics2|S44
omics4|S5	Mismatch	omics2|S45
omics4|S6	Mismatch	omics2|S46
omics4|S7	Mismatch	omics2|S47
omics4|S8	Mismatch	omics2|S48
omics4|S9	Match	omics2|S9
omics4|S10	Match	omics2|S10
omics4|S11	Match	omics2|S11
omics4|S12	Match	omics2|S12
omics4|S13	Match	omics2|S13
omics4|S14	Match	omics2|S14
omics4|S15	Match	omics2|S15
omics4|S16	Match	omics2|S16
omics4|S17	Match	omics2|S17
omics4|S18	Match	omics2|S18
omics4|S19	Match	omics2|S19
omics4|S20	Match	omics2|S20
omics4|S21	Match	omics2|S21
omics4|S22	Match	omics2|S22
omics4|S23	Match	omics2|S23
omics4|S24	Match	omics2|S24
omics4|S25	Match	omics2|S25
omics4|S26	Match	omics2|S26
omics4|S27	Match	omics2|S27
omics4|S28	Match	omics2|S28
omics4|S29	Match	omics2|S29
omics4|S30	Match	omics2|S30
omics4|S31	Match	omics2|S31
omics4|S32	Match	omics2|S32
omics4|S33	Match	omics2|S33
omics4|S34	Mismatch	omics2|S74
omics4|S35	Mismatch	omics2|S75
omics4|S36	Mismatch	omics2|S76
omics4|S37	Mismatch	omics2|S77
omics4|S38	Mismatch	omics2|S78
omics4|S39	Match	omics2|S39
omics4|S40	Match	omics2|S40
omics4|S41	Match	omics2|S41
omics4|S42	Match	omics2|S42
omics4|S43	Match	omics2|S43
omics4|S44	Mismatch	omics2|S4
omics4|S45	Mismatch	omics2|S5
omics4|S46	Mismatch	omics2|S6
omics4|S47	Mismatch	omics2|S7
omics4|S48	Mismatch	omics2|S8
omics4|S49	Match	omics2|S49
omics4|S50	Match	omics2|S50
omics4|S51	Match	omics2|S51
omics4|S52	Match	omics2|S52
omics4|S53	Match	omics2|S53
omics4|S54	Match	omics2|S54
omics4|S55	Match	omics2|S55
omics4|S56	Match	omics2|S56
omics4|S57	Match	omics2|S57
omics4|S58	Match	omics2|S58
omics4|S59	Match	omics2|S59
omics4|S60	Match	omics2|S60
omics4|S61	Match	omics2|S61
omics4|S62	Match	omics2|S62
omics4|S63	Match	omics2|S63
omics4|S64	Match	omics2|S64
omics4|S65	Match	omics2|S65
omics4|S66	Match	omics2|S66
omics4|S67	Match	omics2|S67
omics4|S68	Match	omics2|S68
omics4|S69	Match	omics2|S69
omics4|S70	Match	omics2|S70
omics4|S71	Match	omics2|S71
omics4|S72	Match	omics2|S72
omics4|S73	Match	omics2|S73
omics4|S74	Mismatch	omics2|S34
omics4|S75	Mismatch	omics2|S35
omics4|S76	Mismatch	omics2|S36
omics4|S77	Mismatch	omics2|S37
omics4|S78	Mismatch	omics2|S38
omics4|S79	Match	omics2|S79
omics4|S80	Match	omics2|S80
omics4|S81	Match	omics2|S81
omics4|S82	Match	omics2|S82
omics4|S83	Match	omics2|S83
omics4|S84	Match	omics2|S84
omics4|S85	Match	omics2|S85
omics4|S86	Match	omics2|S86
omics4|S87	Match	omics2|S87
omics4|S88	Match	omics2|S88
omics4|S89	Match	omics2|S89
omics4|S90	Match	omics2|S90
omics4|S91	Match	omics2|S91
omics4|S92	Match	omics2|S92
omics4|S93	Match	omics2|S93
omics4|S94	Match	omics2|S94
omics4|S95	Match	omics2|S95
omics4|S96	Match	omics2|S96
omics4|S97	Match	omics2|S97
omics4|S98	Match	omics2|S98
omics4|S99	Match	omics2|S99
omics4|S100	Match	omics2|S100
omics4|S1	Match	omics3|S1
omics4|S2	Match	omics3|S2
omics4|S3	Match	omics3|S3
omics4|S4	Match	omics3|S4
omics4|S5	Match	omics3|S5
omics4|S6	Match	omics3|S6
omics4|S7	Match	omics3|S7
omics4|S8	Match	omics3|S8
omics4|S9	Match	omics3|S9
omics4|S10	Match	omics3|S10
omics4|S11	Match	omics3|S11
omics4|S12	Match	omics3|S12
omics4|S13	Match	omics3|S13
omics4|S14	Match	omics3|S14
omics4|S15	Match	omics3|S15
omics4|S16	Match	omics3|S16
omics4|S17	Match	omics3|S17
omics4|S18	Match	omics3|S18
omics4|S19	Match	omics3|S19
omics4|S20	Match	omics3|S20
omics4|S21	Match	omics3|S21
omics4|S22	Match	omics3|S22
omics4|S23	Match	omics3|S23
omics4|S24	Match	omics3|S24
omics4|S25	Match	omics3|S25
omics4|S26	Match	omics3|S26
omics4|S27	Match	omics3|S27
omics4|S28	Match	omics3|S28
omics4|S29	Match	omics3|S29
omics4|S30	Match	omics3|S30
omics4|S31	Match	omics3|S31
omics4|S32	Match	omics3|S32
omics4|S33	Match	omics3|S33
omics4|S34	Match	omics3|S34
omics4|S35	Match	omics3|S35
omics4|S36	Match	omics3|S36
omics4|S37	Match	omics3|S37
omics4|S38	Match	omics3|S38
omics4|S39	Match	omics3|S39
omics4|S40	Match	omics3|S40
omics4|S41	Match	omics3|S41
omics4|S42	Match	omics3|S42
omics4|S43	Match	omics3|S43
omics4|S44	Match	omics3|S44
omics4|S45	Match	omics3|S45
omics4|S46	Match	omics3|S46
omics4|S47	Match	omics3|S47
omics4|S48	Match	omics3|S48
omics4|S49	Match	omics3|S49
omics4|S50	Match	omics3|S50
omics4|S51	Match	omics3|S51
omics4|S52	Match	omics3|S52
omics4|S53	Match	omics3|S53
omics4|S54	Match	omics3|S54
omics4|S55	Match	omics3|S55
omics4|S56	Match	omics3|S56
omics4|S57	Match	omics3|S57
omics4|S58	Match	omics3|S58
omics4|S59	Match	omics3|S59
omics4|S60	Match	omics3|S60
omics4|S61	Match	omics3|S61
omics4|S62	Match	omics3|S62
omics4|S63	Match	omics3|S63
omics4|S64	Match	omics3|S64
omics4|S65	Match	omics3|S65
omics4|S66	Match	omics3|S66
omics4|S67	Match	omics3|S67
omics4|S68	Match	omics3|S68
omics4|S69	Match	omics3|S69
omics4|S70	Match	omics3|S70
omics4|S71	Match	omics3|S71
omics4|S72	Match	omics3|S72
omics4|S73	Match	omics3|S73
omics4|S74	Match	omics3|S74
omics4|S75	Match	omics3|S75
omics4|S76	Match	omics3|S76
omics4|S77	Match	omics3|S77
omics4|S78	Match	omics3|S78
omics4|S79	Match	omics3|S79
omics4|S80	Match	omics3|S80
omics4|S81	Match	omics3|S81
omics4|S82	Match	omics3|S82
omics4|S83	Match	omics3|S83
omics4|S84	Match	omics3|S84
omics4|S85	Match	omics3|S85
omics4|S86	Match	omics3|S86
omics4|S87	Match	omics3|S87
omics4|S88	Match	omics3|S88
omics4|S89	Match	omics3|S89
omics4|S90	Match	omics3|S90
omics4|S91	Match	omics3|S91
omics4|S92	Match	omics3|S92
omics4|S93	Match	omics3|S93
omics4|S94	Match	omics3|S94
omics4|S95	Match	omics3|S95
omics4|S96	Match	omics3|S96
omics4|S97	Match	omics3|S97
omics4|S98	Match	omics3|S98
omics4|S99	Match	omics3|S99
omics4|S100	Match	omics3|S100
